model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,5.0000,30.0000,dsl,10,2,,154,0,29.9620,29.7457,3.6345,29.7457,3.6345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4385,10.4000,82.6000
mobilenet_v2,5.0000,30.0000,pure_edge,10,2,,154,0,29.9620,30.1653,2.5544,30.1653,2.5544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.5564,10.4000,82.6000
mobilenet_v2,5.0000,30.0000,pure_cloud,10,2,__input__,1,153,982.3088,989.0775,6.3433,0.2596,0.1015,976.9296,5.9201,11.8883,1.0138,602112.0000,0.0000,31.4302,10.4000,82.6000
mobilenet_v2,10.0000,30.0000,dsl,10,2,,154,0,29.9620,29.2116,0.9086,29.2116,0.9086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4959,10.4000,82.6000
mobilenet_v2,10.0000,30.0000,pure_edge,10,2,,154,0,29.9620,32.7446,3.3327,32.7446,3.3327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4959,10.4000,82.6000
mobilenet_v2,10.0000,30.0000,pure_cloud,10,2,__input__,1,153,500.6192,509.3479,8.1575,0.2549,0.1075,493.0234,5.2972,16.0695,3.6163,602112.0000,0.0000,31.7497,10.4000,88.6000
mobilenet_v2,20.0000,30.0000,dsl,10,2,,154,0,29.9620,35.6516,5.7112,35.6516,5.7112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.8446,10.4000,88.6000
mobilenet_v2,20.0000,30.0000,pure_edge,10,2,,154,0,29.9620,46.3737,19.7990,46.3737,19.7990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0202,10.4000,98.9000
mobilenet_v2,20.0000,30.0000,pure_cloud,10,2,__input__,1,153,259.7744,268.2249,8.5082,0.2588,0.0945,253.4723,8.8556,14.4939,2.3578,602112.0000,0.0000,32.1332,10.4000,98.9000
mobilenet_v2,50.0000,30.0000,dsl,10,2,,154,0,29.9620,34.5600,2.2835,34.5600,2.2835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1717,10.4000,98.9000
mobilenet_v2,50.0000,30.0000,pure_edge,10,2,,154,0,29.9620,32.8404,2.5025,32.8404,2.5025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.3023,10.4000,98.9000
mobilenet_v2,50.0000,30.0000,pure_cloud,10,2,__input__,1,153,115.2675,123.2335,3.8903,0.2261,0.0588,109.2414,4.4759,13.7659,2.1616,602112.0000,0.0000,32.3364,10.4000,98.9000
mobilenet_v2,100.0000,30.0000,dsl,10,2,,154,0,29.9620,30.1615,1.4382,30.1615,1.4382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.3987,10.4000,98.9000
mobilenet_v2,100.0000,30.0000,pure_edge,10,2,,154,0,29.9620,27.4416,1.2538,27.4416,1.2538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.3987,10.4000,98.9000
