model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
resnet50,20.0000,30.0000,dsl,10,2,,19,0,80.4740,68.4124,15.5179,68.4124,15.5179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.8249,14.6000,97.1000
resnet50,20.0000,30.0000,pure_edge,10,2,,19,0,80.4740,56.9244,5.6311,56.9244,5.6311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.9307,14.6000,97.1000
resnet50,20.0000,30.0000,pure_cloud,10,2,__input__,1,18,252.2071,267.0427,9.2615,0.1116,0.0296,252.0234,6.5805,14.9077,3.6976,602112.0000,0.0000,31.9725,14.6000,97.1000
resnet50,50.0000,30.0000,dsl,10,2,,19,0,80.4740,64.5496,15.9935,64.5496,15.9935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1607,14.6000,97.1000
resnet50,50.0000,30.0000,pure_edge,10,2,,19,0,80.4740,50.7345,2.1770,50.7345,2.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.2607,14.6000,97.1000
resnet50,50.0000,30.0000,pure_cloud,10,2,__input__,1,18,107.7002,125.2745,10.6312,0.1262,0.0561,110.8108,7.9588,14.3375,4.3794,602112.0000,0.0000,32.2789,14.6000,97.1000
resnet50,100.0000,30.0000,dsl,10,2,__input__,1,18,59.5312,74.2781,7.9984,0.1026,0.0378,61.8395,7.4932,12.3360,2.7321,602112.0000,0.0000,32.2760,14.1000,97.1000
resnet50,100.0000,30.0000,pure_edge,10,2,,19,0,80.4740,156.9429,197.6139,156.9429,197.6139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.5432,14.1000,100.0000
resnet50,100.0000,30.0000,pure_cloud,10,2,__input__,1,18,59.5312,75.5633,7.2672,0.0820,0.0149,63.9090,7.3262,11.5723,1.5527,602112.0000,0.0000,32.6665,14.1000,100.0000
resnet50,200.0000,30.0000,dsl,10,2,__input__,1,18,35.4467,45.3289,3.6027,0.0842,0.0132,33.6726,2.3423,11.5721,2.5036,602112.0000,0.0000,32.6234,14.1000,100.0000
resnet50,200.0000,30.0000,pure_edge,10,2,,19,0,80.4740,56.2468,7.3455,56.2468,7.3455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.7148,14.1000,100.0000
resnet50,200.0000,30.0000,pure_cloud,10,2,__input__,1,18,35.4467,46.7970,5.5108,0.0976,0.0171,34.9125,5.2385,11.7869,1.1749,602112.0000,0.0000,32.7625,14.1000,100.0000
resnet50,500.0000,30.0000,dsl,10,2,__input__,1,18,20.9961,29.5979,1.5340,0.0746,0.0104,19.1058,1.0722,10.4175,1.1415,602112.0000,0.0000,32.7625,14.1000,100.0000
resnet50,500.0000,30.0000,pure_edge,10,2,,19,0,80.4740,57.1337,3.5889,57.1337,3.5889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.8248,14.1000,100.0000
resnet50,500.0000,30.0000,pure_cloud,10,2,__input__,1,18,20.9961,30.3089,1.7145,0.0840,0.0117,18.8283,1.5188,11.3966,1.1930,602112.0000,0.0000,32.8248,14.1000,100.0000
resnet50,1000.0000,30.0000,dsl,10,2,__input__,1,18,16.1792,31.6015,4.7455,0.0871,0.0198,20.9436,4.6077,10.5708,1.4762,602112.0000,0.0000,32.8296,14.1000,100.0000
resnet50,1000.0000,30.0000,pure_edge,10,2,,19,0,80.4740,54.2653,4.6424,54.2653,4.6424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.8753,14.1000,100.0000
resnet50,1000.0000,30.0000,pure_cloud,10,2,__input__,1,18,16.1792,31.5146,4.8578,0.0911,0.0163,19.8020,5.3027,11.6215,1.8028,602112.0000,0.0000,32.9612,14.1000,100.0000
resnet50,0.5000,60.0000,dsl,10,2,,19,0,106.1839,57.7649,3.3140,57.7649,3.3140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.1857,68.1000,98.9000
resnet50,0.5000,60.0000,pure_edge,10,2,,19,0,106.1839,53.0278,2.3732,53.0278,2.3732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,80.0875,68.1000,98.9000
resnet50,0.5000,60.0000,pure_cloud,10,2,__input__,1,18,9645.1543,9661.0923,9.5878,0.1099,0.0276,9647.9044,7.0682,13.0780,3.6072,602112.0000,0.0000,60.7022,19.3000,98.9000
resnet50,1.0000,60.0000,dsl,10,2,,19,0,106.1839,68.9682,10.9974,68.9682,10.9974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8759,19.3000,100.0000
resnet50,1.0000,60.0000,pure_edge,10,2,,19,0,106.1839,112.0700,61.9803,112.0700,61.9803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1996,19.3000,100.0000
resnet50,1.0000,60.0000,pure_cloud,10,2,__input__,1,18,4828.2583,4840.8236,7.4339,0.1064,0.0197,4827.9281,6.7537,12.7890,1.7102,602112.0000,0.0000,60.5731,19.3000,100.0000
resnet50,5.0000,60.0000,dsl,10,2,,19,0,106.1839,69.6927,13.6741,69.6927,13.6741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7339,19.3000,100.0000
resnet50,5.0000,60.0000,pure_edge,10,2,,19,0,106.1839,65.8986,9.5654,65.8986,9.5654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8298,19.3000,100.0000
resnet50,5.0000,60.0000,pure_cloud,10,2,__input__,1,18,974.7415,995.1991,6.9521,0.1145,0.0303,981.5630,7.8120,13.5216,1.1280,602112.0000,0.0000,60.6051,19.3000,100.0000
resnet50,10.0000,60.0000,dsl,10,2,,19,0,106.1839,73.8331,16.0572,73.8331,16.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.7249,19.3000,100.0000
resnet50,10.0000,60.0000,pure_edge,10,2,,19,0,106.1839,68.8895,9.9158,68.8895,9.9158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8136,19.3000,100.0000
resnet50,10.0000,60.0000,pure_cloud,10,2,__input__,1,18,493.0519,511.8341,2.3859,0.0952,0.0101,497.3571,4.6715,14.3817,3.1293,602112.0000,0.0000,60.6801,19.3000,100.0000
resnet50,20.0000,60.0000,dsl,10,2,,19,0,106.1839,97.8840,36.6895,97.8840,36.6895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8157,19.3000,100.0000
resnet50,20.0000,60.0000,pure_edge,10,2,,19,0,106.1839,60.2751,4.1365,60.2751,4.1365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9941,19.3000,100.0000
resnet50,20.0000,60.0000,pure_cloud,10,2,__input__,1,18,252.2071,262.9405,0.9545,0.0932,0.0107,249.8195,1.0763,13.0278,0.8002,602112.0000,0.0000,60.8587,19.3000,100.0000
resnet50,50.0000,60.0000,dsl,10,2,,19,0,106.1839,63.1448,14.1222,63.1448,14.1222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9201,19.3000,100.0000
resnet50,50.0000,60.0000,pure_edge,10,2,,19,0,106.1839,66.1321,8.7504,66.1321,8.7504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.0732,19.3000,100.0000
